from,to,cost
52557,56091,612.4220458403473
52557,56092,609.5287287244166
52557,56093,627.4406323690195
52557,56094,705.9979069519574
52557,56095,682.768929515335
52557,56096,768.7619651646038
52557,56192,799.9617036258239
52557,57001,671.0444636831008
52557,57002,682.7283841396725
52557,57004,646.0973853070811
52557,57006,710.8834821736474
52557,57007,711.2296100706585
52557,57008,731.2127764576999
52557,57011,722.812958306085
52557,57012,708.4801858194922
52557,57014,719.1915249385402
52557,57102,779.5974659555134
52557,57105,810.4546441190317
52557,57110,797.9100346348552
52557,57111,799.3312215473818
52643,52652,63.55118143302988
52643,52656,113.45617068118025
52643,52674,215.26164008025978
52643,52679,284.78109802986563
52643,52681,301.27413015654673
52643,52784,324.57250526040013
52643,52787,337.85414069978754
52643,52797,429.73429796581314
52643,52881,374.3679767913267
52643,52884,471.17853565583516
52643,52885,394.3914671193424
52643,52895,511.6658538788202
52643,52896,472.83174645301574
52643,52978,479.2374557605866
52643,52980,455.1887036600114
52643,52981,483.59082198396374
52643,52982,510.425485939486
52643,52983,518.790554595542
52643,52984,480.03741764219416
52643,52985,502.42074124071183
52643,52986,539.0723481284252
52643,52988,529.8460044772625
52643,52993,596.5925707614033
52643,52995,572.0414721059606
52643,52996,614.072767241014
52643,52998,579.0863948628247
52643,53821,721.4204241233132
52643,53829,797.5571629544065
52643,53906,654.3647737051962
52643,53908,640.1462118629676
52643,53915,723.6875459489964
52643,53917,699.7701837916419
52643,53923,788.5573824872238
52643,53924,825.1775808149832
52643,53925,755.7198791289907
52643,53926,787.7686058214628
52643,53927,741.5524957827877
52643,53928,765.4425318258635
52643,53930,782.7425975377383
52643,53934,813.955922967056
52643,53935,863.1195846081832
52643,53937,822.7999490795752
52643,56071,538.3409829985419
52643,56074,581.0153957811572
52643,56080,516.630001674805
52643,56081,567.3377093251294
52643,56082,586.1551490459528
52643,56084,620.558526959464
52643,56091,618.670842732168
52643,56092,618.02250429395
52643,56093,627.8423746103648
52643,56094,705.1685303857678
52643,56095,683.3411852118464
52643,56096,769.4439240332862
52643,56192,797.0896927912063
52643,57001,681.9331871972201
52643,57002,696.0514369025427
52643,57004,654.1776775052217
52643,57006,722.9569911074293
52643,57007,717.6551847802873
52643,57008,737.4608169641514
52643,57011,738.0075564943623
52643,57012,725.4384512963474
52643,57014,731.8267303065928
52643,57102,786.6104104754436
52643,57105,814.6433225148048
52643,57110,806.9587842317801
52643,57111,810.2454882135264
52652,52656,86.21519989079096
52652,52674,174.74379301353375
52652,52679,244.99339891335055
52652,52681,247.8319444476864
52652,52784,290.7450559748332
