from,to,cost
59071,59074,22.141168465117122
59071,59075,45.048455228577026
59071,59081,101.24285259826588
59071,59082,133.66421842381
59071,59087,157.41259735373663
59071,59088,130.7403453192278
59071,59090,182.47647669690662
59071,59094,191.06568116975515
59071,59096,226.33654521302685
59071,59097,208.85606144832988
59071,59099,270.0433420644487
59071,59106,366.60933031788846
59071,59107,311.55223380065206
59071,59109,355.53941100031307
59071,59114,393.53296947676915
59071,59116,449.81205796576296
59071,59117,387.1391511146908
59071,59264,167.94486338004725
59071,59268,181.55226782037028
59071,59269,180.9543632246827
59071,59270,90.73754475453921
59071,59271,123.39523865023033
59071,59276,158.15879143572073
59071,59278,190.03254432116853
59071,59279,182.68564808839176
59071,59280,138.69550280685522
59071,59284,174.8942554662518
59071,59285,186.14864092809407
59071,59287,207.73012353146635
59071,59288,191.32017265127126
59071,59289,245.31036636383413
59071,59290,226.18150554803293
59071,59293,269.3231583090068
59071,59294,221.63284040540802
59071,59297,266.7655850366634
59071,59298,281.75596488902056
59071,59303,363.3386203370673
59071,59304,318.9339070684937
59071,59306,389.7561242582801
59071,59310,409.9902391878724
59071,59312,464.01756607928144
59071,59313,491.27807470443344
59071,59314,422.5826913383068
59071,59315,437.596849210406
59071,59316,471.0704613260893
59071,59317,450.8031350489863
59071,59318,466.4828882411282
59071,59319,484.50694601763706
59071,59324,503.9387278416612
59071,59456,298.61508648501814
59071,59462,236.36564327005414
59071,59469,289.51531450647684
59071,59470,226.12558861831434
59071,59471,201.73902332013608
59071,59473,229.2319966275608
59071,59475,262.10703323745275
59071,59476,256.5675012471887
59071,59477,273.89350270350263
59071,59478,280.75097906831485
59071,59480,231.42896046483062
59071,59481,226.63626590135482
59071,59485,273.26134859527133
59071,59487,297.1421436196525
59071,59488,302.8536073302705
59071,59492,317.172209950419
59071,59493,301.2335492017217
59071,59500,366.2901028921586
59071,59501,381.1111327501218
59071,59502,396.21489146038755
59071,59650,424.99734598172273
59071,59653,344.2569529046314
59071,59654,400.15724441118033
59071,59655,382.61872991996074
59071,59656,399.70558946036965
59071,59658,447.2149668428176
59071,59659,359.70953820213896
59071,59663,324.3786156937745
59071,59664,380.2605627638625
59071,59673,337.6978285867559
59071,59750,475.9849550744354
59071,59754,535.2566010518321
59072,59074,33.922002220090775
59072,59075,44.283561689877665
59072,59081,91.99271647376604
59072,59082,125.19938477811941
59072,59087,155.21806176160135
59072,59088,126.79817238710423
59072,59090,172.495506153239
59072,59094,184.10696477132342
59072,59096,218.88590721652253
59072,59097,203.40383631151417
59072,59099,261.96953795934803
59072,59106,357.8627946671313
59072,59107,304.41970328339
59072,59109,348.0174799886173
59072,59114,384.58473593573837
59072,59116,441.4776681876908
59072,59117,379.1094866289147
59072,59264,179.17414019366396
59072,59268,192.5241980646359
59072,59269,191.11479277390637
59072,59270,99.83796627461655
59072,59271,130.3861675606872
59072,59276,163.90251653015073
59072,59278,197.20358823919517
59072,59279,187.3693004923559
59072,59280,140.1643069518754
59072,59284,176.7330703180872
59072,59285,185.33232213155014
59072,59287,208.9843354130292
59072,59288,195.2126635603443
59072,59289,246.2915777538476
59072,59290,221.9857873458794
59072,59293,264.0436659534834
59072,59294,220.9036683351011
59072,59297,265.0498317365676
59072,59298,280.1642058739772
59072,59303,356.4726542441113
59072,59304,313.5976837307042
59072,59306,384.14872279822254
59072,59310,403.22186697220616
59072,59312,457.15135626359967
59072,59313,484.23017240448803
59072,59314,417.0812577315942
59072,59315,431.1470610353709
