from,to,cost
50247,54096,1020.1141161627027
50247,54098,961.7943120293904
50247,54099,1047.3726108343396
50349,50353,153.9943677550347
50349,50442,142.72773255425986
50349,50468,265.8969844660495
50349,50557,284.4518660446656
50349,50564,325.088090213787
50349,50566,371.87133032795526
50349,50646,356.5595268451054
50349,50655,375.05843624314963
50349,50656,409.29519184400823
50349,50658,416.7139727689674
50349,50659,426.36895915863323
50349,50673,527.623120380021
50349,50674,497.76345649835037
50349,50739,491.0922452486065
50349,50741,421.3178940215535
50349,50742,430.84480313699044
50349,50745,478.81548664872673
50349,50749,500.79077783050565
50349,50750,424.62119648076253
50349,50755,469.3202590846702
50349,50756,505.0113401172233
50349,50758,511.45834638101184
50349,50767,531.385753261761
50349,50772,526.9803498893668
50349,50774,544.8566111299878
50349,50775,639.3138743093648
50349,50776,650.1894458773236
50349,50778,735.0448268592156
50349,50779,795.5336781513049
50349,50787,722.5970549764262
50349,50788,737.6949755116806
50349,50842,538.7882895872289
50349,50844,590.722041222292
50349,50850,570.2069249897842
50349,50851,568.7378856931385
50349,50852,558.9389858466409
50349,50853,592.3969725929875
50349,50854,592.6834555509341
50349,50858,633.3365034177755
50349,50859,615.4792717081273
50349,50861,578.1081861266885
50349,50862,582.9582340132573
50349,50867,658.5501683001188
50349,50871,678.7732174888636
50349,50873,692.5700343180636
50349,50877,707.0879934517011
50349,50878,692.6193619057808
50349,50879,754.5777089699958
50349,50880,735.1440048575048
50349,50884,745.244815324959
50349,50888,822.2815948831416
50349,50892,882.4328907326454
50349,50950,667.4939328300266
50349,50953,658.4067239315517
50349,50954,688.6556201234457
50349,50956,645.9227816774222
50349,50958,708.3073164948996
50349,50960,696.3875933803646
50349,50962,689.9004154003488
50349,50963,709.1579203101452
50349,50964,725.5779779637868
50349,50965,750.6236552448045
50349,50968,764.6353828474341
50349,50971,816.4382770049161
50349,50973,800.4345124533074
50349,50978,856.1369034653184
50349,50979,831.6898340033988
50349,50983,908.5021512849663
50349,50985,874.5210192405407
50349,50987,866.4441133187332
50349,54080,780.5277141268282
50349,54092,869.7809839660393
50349,54093,876.9826017803553
50349,54094,888.616546150568
50349,54096,954.3772290706252
50349,54098,899.5992185599073
50349,54099,982.0972870463083
50353,50442,229.65732769230698
50353,50468,174.48170257561145
50353,50557,301.746650967323
50353,50564,261.0407077113506
50353,50566,275.2342620807901
50353,50646,383.4302620525106
50353,50655,360.9919783923961
50353,50656,387.50335982347
50353,50658,413.16561050364857
50353,50659,412.781490809101
50353,50673,415.2209543297516
50353,50674,404.44359623115724
50353,50739,549.433732204568
50353,50741,478.9081128239747
50353,50742,463.94235713666995
50353,50745,522.1964260573209
50353,50749,522.9392782880061
50353,50750,436.90521247351944
50353,50755,461.32919931797676
50353,50756,477.07724130387754
50353,50758,509.24349076257846
50353,50767,502.0867265886707
50353,50772,444.9251756727155
50353,50774,475.68652883659297
50353,50775,553.4097698538181
50353,50776,553.041410251779
50353,50778,619.8697683002041
50353,50779,661.9705540536736
50353,50787,617.8795495471605
50353,50788,632.6194252154775
50353,50842,568.5148099747214
50353,50844,636.8972559686945
50353,50850,584.6648128937467
50353,50851,563.5802252045567
50353,50852,545.6216279874028
50353,50853,569.3787021329558
50353,50854,603.1504495310207
50353,50858,632.1388468804118
50353,50859,607.2273359286403
50353,50861,543.4026126433376
50353,50862,537.7260202977814
50353,50867,631.1489031120318
50353,50871,604.5087681128209
50353,50873,611.9661148115956
50353,50877,641.5509495698612
50353,50878,604.0586005877972
50353,50879,676.7074917020233
50353,50880,644.9528735526194
50353,50884,655.8262122443044
50353,50888,725.3530500052366
50353,50892,765.961280122549
50353,50950,678.8316771579362
50353,50953,645.667954673687
50353,50954,702.7945787625816
50353,50956,629.038206594027
50353,50958,690.532005285021
50353,50960,670.1732584573984
50353,50962,651.5173229603331
50353,50963,659.3188332684664
50353,50964,675.7164085070185
50353,50965,711.5865071835908
50353,50968,731.3711079363339
50353,50971,737.2387213696419
50353,50973,726.4219413857635
50353,50978,782.2329202756704
50353,50979,766.3413652560035
50353,50983,809.7203022693775
50353,50985,788.0928455224289
50353,50987,790.7373441224028
50353,54080,761.2805527920589
50353,54092,819.7611232487246
50353,54093,810.3603548766594
50353,54094,835.7553587489433
50353,54096,884.7561298904399
50353,54098,850.2872153145505
50353,54099,914.9669016833456
50442,50468,237.23115540993933
50442,50557,158.46587770596693
50442,50564,255.4426442853871
50442,50566,325.42619317760426
50442,50646,220.1653606021927
50442,50655,258.7450527999988
50442,50656,295.0935450684382
50442,50658,291.19607754451164
50442,50659,305.901351045202
50442,50673,483.11992208717214
50442,50674,434.55583776535656
50442,50739,348.6063563990564
50442,50741,278.6352991433386
50442,50742,290.61657957763634
50442,50745,336.5030561711694
50442,50749,362.2062793259888
50442,50750,291.2491769829714
50442,50755,343.5722022434419
50442,50756,388.89904713654573
50442,50758,381.4506028604884
50442,50767,414.9429643102628
50442,50772,450.87112861539833
50442,50774,456.37346717064963
50442,50775,560.9731512801751
50442,50776,582.3547471076091
50442,50778,684.3448693264713
50442,50779,769.4347346231168
50442,50787,660.1090522018026
50442,50788,675.1128563396467
50442,50842,398.0224410114788
50442,50844,448.01754899548257
50442,50850,432.8058721361511
50442,50851,438.5407751489329
50442,50852,432.77104408205327
50442,50853,470.2722782120728
50442,50854,456.19447332418935
50442,50858,500.3065875732306
50442,50859,485.6317980130397
50442,50861,463.16869694214256
50442,50862,474.6242503115787
50442,50867,537.0979347931546
50442,50871,588.7075576344436
50442,50873,607.4588447127508
50442,50877,609.1549879604087
50442,50878,614.7393878265718
50442,50879,665.2412687230876
50442,50880,657.4199530308875
50442,50884,666.4862819553941
50442,50888,748.765028893177
50442,50892,829.4776248562673
50442,50950,529.8981596100191
50442,50953,529.7286819805165
50442,50954,550.1283331800596
50442,50956,519.3986875558508
50442,50958,581.0692824716799
50442,50960,573.507799572753
50442,50962,573.9533450773436
50442,50963,599.9575004868811
50442,50964,615.991974379138
50442,50965,633.7675367054529
50442,50968,644.2628538286323
50442,50971,726.6914682842945
50442,50973,706.758716876376
50442,50978,761.1858163905374
50442,50979,730.6294614301647
50442,50983,834.9764087924198
50442,50985,789.8396211016759
50442,50987,772.7456111103323
50442,54080,652.9164503871873
50442,54092,757.5428799930529
50442,54093,776.0217004614925
50442,54094,777.9070051924529
50442,54096,854.4081653371053
50442,54098,786.4790127507848
50442,54099,879.8776801351312
50468,50557,199.9670475582514
50468,50564,91.56384420032227
50468,50566,106.86800195169502
50468,50646,272.64070314114593
50468,50655,215.45380881432675
50468,50656,233.09007148757132
50468,50658,270.2531636754431
50468,50659,262.1169365324213
50468,50673,261.9286726544922
50468,50674,235.65420957831782
50468,50739,451.21908378731376
50468,50741,386.7063599284467
50468,50742,348.34218677958995
50468,50745,411.03241429618697
50468,50749,392.14609919285124
50468,50750,304.95393757622
50468,50755,311.06929447412466
50468,50756,313.66953776599456
50468,50758,360.19296574986924
50468,50767,337.16422579262337
50468,50772,272.12511192450927
50468,50774,301.2278979407851
50468,50775,382.47629341214196
50468,50776,387.4194545088548
50468,50778,469.2376727602424
50468,50779,537.8064501836757
50468,50787,457.660411105622
50468,50788,472.71339936175116
50468,50842,441.2907075935663
50468,50844,520.7292613408388
50468,50850,444.02267822134104
50468,50851,410.05497645073797
50468,50852,387.7712742211281
50468,50853,405.6393711782715
50468,50854,458.707386087954
50468,50858,478.78042712370825
50468,50859,450.3467421278702
50468,50861,375.15318461623065
50468,50862,366.0957947007423
50468,50867,464.26152852960826
50468,50871,430.849583639228
50468,50873,439.6685123520749
50468,50877,467.1210233553433
50468,50878,434.3945913529805
50468,50879,503.96519338616935
50468,50880,476.16040883371375
50468,50884,486.7425790182111
50468,50888,560.2561158468499
50468,50892,616.6124650382134
50468,50950,532.3137123466919
50468,50953,485.3215710753407
50468,50954,557.5164078516334
50468,50956,466.93420385028054
50468,50958,526.8560196020493
50468,50960,503.1910582356648
50468,50962,480.60765056604026
50468,50963,485.83298551378624
50468,50964,502.1632984011869
50468,50965,540.0371116265965
50468,50968,561.2848343306243
50468,50971,564.9926771578449
50468,50973,553.0383416241455
50468,50978,608.9498110644879
50468,50979,592.0094732164116
50468,50983,645.9340169930524
50468,50985,618.2556468934563
50468,50987,617.8199403946718
50468,54080,595.9838431945434
50468,54092,645.8112326502318
50468,54093,636.1649298341704
50468,54094,661.5213539063361
50468,54096,710.9749103335935
50468,54098,676.361209042938
50468,54099,740.9274213621597
50557,50564,156.58590169877982
50557,50566,238.66766545772825
50557,50646,81.70310590620377
50557,50655,102.019674441819
50557,50656,138.52965359958358
50557,50658,133.5402681290893
50557,50659,147.4519814407812
50557,50673,378.69021628709487
50557,50674,314.65940033886466
50557,50739,255.0190277774141
50557,50741,187.8887851864596
50557,50742,162.23499499325592
50557,50745,221.6336815055284
50557,50749,223.50607925452599
50557,50750,141.46986248098432
50557,50755,186.22765654012855
50557,50756,230.76036044559814
50557,50758,227.03797613228144
50557,50767,256.67218768454023
50557,50772,317.40602166089656
50557,50774,312.1558934711514
50557,50775,421.3943470012134
50557,50776,450.66194210146716
50557,50778,564.3078473748486
50557,50779,669.5198594124367
50557,50787,530.6195460557191
50557,50788,545.1614861008443
50557,50842,267.3792392014682
50557,50844,335.84515263973736
50557,50850,289.52691552501426
50557,50851,284.33986648981505
50557,50852,275.87387864969804
50557,50853,312.1410473545838
50557,50854,310.65428601984235
50557,50858,349.0602431812412
50557,50859,331.1730803432352
50557,50861,305.0029268802428
50557,50862,318.1860614071725
50557,50867,378.93245707568406
50557,50871,440.2925272488208
50557,50873,461.94595392618385
50557,50877,456.08014598676425
50557,50878,474.19942948205113
50557,50879,516.2426335616137
50557,50880,516.143494365904
50557,50884,524.3159121091603
50557,50888,608.9858227144888
50557,50892,704.1638064296762
50557,50950,386.2815646577361
50557,50953,374.44690977687856
50557,50954,408.6989861680203
50557,50956,362.8427940388078
50557,50958,424.97404952800264
50557,50960,415.6914704679769
50557,50962,415.5345391105853
50557,50963,442.6075240445201
50557,50964,458.49709247323483
50557,50965,475.3022948075449
50557,50968,486.0269813475147
50557,50971,576.8350289807936
50557,50973,554.9827115777359
50557,50978,608.4107163153527
50557,50979,575.4077590742633
50557,50983,694.0760208466316
50557,50985,642.3087626156399
50557,50987,620.4958175178882
50557,54080,497.1092476862768
50557,54092,599.3364833903742
50557,54093,620.6518765390036
50557,54094,619.898425503115
50557,54096,699.1295398598453
50557,54098,628.1572578677052
50557,54099,723.7615437935773
50564,50566,82.0817884445061
50564,50646,211.12281506803478
50564,50655,134.2701898921946
50564,50656,145.36956160796655
50564,50658,187.729198533622
50564,50659,175.52909650690538
50564,50673,230.3215870569997
50564,50674,179.5473479338084
50564,50739,386.8252998365934
50564,50741,328.5089217191004
50564,50742,278.4195319122416
50564,50745,341.00668701171423
50564,50749,312.2947688481124
50564,50750,227.41410375019302
50564,50755,223.58974559513203
50564,50756,222.19104179613538
50564,50758,272.4973085649353
50564,50767,245.6004018905132
50564,50772,202.34750024657092
50564,50774,221.2929325013205
50564,50775,314.6791273078238
50564,50776,329.73282284041915
50564,50778,428.9276979916732
50564,50779,520.4693891513117
50564,50787,405.979971863628
50564,50788,421.060025460952
50564,50842,362.1021328655031
50564,50844,445.3405991485156
50564,50850,358.7168392501579
50564,50851,320.3689992793144
50564,50852,297.0487419042285
50564,50853,314.08334798737616
50564,50854,371.75075207825006
50564,50858,388.82117152270337
50564,50859,359.6391672944253
50564,50861,284.0286952259497
50564,50862,276.7059933186427
50564,50867,372.9202941574659
50564,50871,354.5533877802188
50564,50873,367.5114307868075
50564,50877,386.14143549208336
50564,50878,368.24751248151483
50564,50879,429.8972008885965
50564,50880,410.93450894281125
50564,50884,420.8174963584059
50564,50888,499.72980738434836
50564,50892,574.1323620017182
50564,50950,444.12655157658327
50564,50953,393.9732694880256
50564,50954,469.5987457996258
50564,50956,375.43474708469716
50564,50958,435.2924022889235
50564,50960,411.88826665752276
50564,50962,390.72385580933064
50564,50963,398.7810816127907
50564,50964,415.229179851212
50564,50965,450.62570582059374
50564,50968,470.97956542587264
50564,50971,491.6866126256187
